,index,merchantid,listedproducts,totalunitssold,meanunitssoldperproduct,rating,merchantratingscount,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,totalurgencycount,urgencytextrate,family_size
0,0,5357bcf2bb72c5504882e889,2,120000,60000,4.219,320031,9.0,20.0,54,54.0,8836,1.0,50.0,74.0
1,1,5708773c3c02161b3f8c7900,5,107100,21420,3.934,139223,7.76,34.2,61,61.0,4010,3.0,60.0,95.2
2,2,5417aada4ad3ab27e954b76c,2,100007,50004,4.053,108048,8.0,8.0,-1,-1.0,5531,,,7.0
3,3,570f3a713a698c14278bb51e,1,100000,100000,3.889,19248,5.67,19.0,71,71.0,18393,1.0,100.0,90.0
4,4,53082ea15aefb07dfe1f2a4f,1,100000,100000,4.036,366898,5.0,33.0,85,85.0,13789,,,118.0
5,5,53f2beb39020ee03566d6e18,1,100000,100000,4.067,330405,5.77,48.0,88,88.0,20744,,,136.0
6,6,5926c5ace8ff5525241b368d,7,96000,13714,4.139,55499,6.69,6.29,-4,-3.86,2250,1.0,14.0,2.43
7,7,5860c757b1e41d4d67d183e8,4,90100,22525,4.049,151249,3.43,3.75,11,11.0,6290,2.0,50.0,14.75
8,8,52bd3ddb34067e4620a4c62d,3,80000,26667,4.104,839882,7.22,14.67,33,33.33,6136,1.0,33.0,48.0
9,9,5a7b23a69bda4e3d375e7b3f,5,80000,16000,3.966,12974,8.4,7.8,-7,-6.8,2093,1.0,20.0,1.0
10,10,53a2a09ad91139519161a267,3,75000,25000,4.256,165915,13.33,100.33,86,86.0,4007,1.0,33.0,186.32999999999998
11,11,539937d634067e06707b1a8e,4,71100,17775,3.968,51369,11.5,86.25,87,87.25,6491,2.0,50.0,173.5
12,12,58ad449708de0c6dc59d9e06,6,63100,10517,4.147,126370,3.61,3.33,-4,-4.17,3292,1.0,17.0,-0.8399999999999999
13,13,56e43d9e3a698c3826a5feff,3,61000,20333,4.179,17816,8.67,8.0,-8,-8.0,5086,1.0,33.0,0.0
14,14,53aa664438d3046ee44a5024,4,60100,15025,4.128,151914,12.5,83.0,86,85.5,2517,,,168.5
15,15,53facca81c105e3d5866e212,3,60000,20000,4.157,402743,9.0,114.0,58,57.67,3986,1.0,33.0,171.67000000000002
16,16,5384613a796f680f9d78a127,3,60000,20000,4.387,18910,16.33,14.33,-14,-13.67,3708,,,0.6600000000000001
17,17,558c2cdc89d53c4005ea2920,15,58500,3900,3.885,32168,4.18,4.13,1,1.2,749,6.0,40.0,5.33
18,18,55c8a4c33a698c6010edcd9e,6,55200,9200,4.121,55670,5.39,5.17,-3,-2.67,1141,2.0,33.0,2.5
19,19,58106cfce516491e6e5f1e53,2,55000,27500,4.156,15538,5.5,5.0,-8,-8.0,5481,1.0,50.0,-3.0
20,20,5acaf29d5ebcfd72403106a8,12,54300,4525,4.045,12309,5.56,5.17,-4,-4.33,512,4.0,33.0,0.8399999999999999
21,21,54af9c1428565a151043b6bf,3,50000,16667,4.038,70773,8.0,7.33,-9,-9.33,5719,1.0,33.0,-2.0
22,22,557ed5b886d66519ff242099,4,50000,12500,4.154,59903,7.12,6.5,-9,-9.25,2034,1.0,25.0,-2.75
23,23,57568f454054c95cbd8d1619,1,50000,50000,3.84,78307,8.0,54.0,86,86.0,14568,,,140.0
24,24,5652f4053a698c76dc9a3f37,1,50000,50000,4.077,10194,7.0,6.0,-16,-16.0,6742,,,-10.0
25,25,5542fcb264b4f014ce88ecae,1,50000,50000,4.095,13665,4.0,6.0,34,34.0,10927,,,40.0
26,26,58ad356108de0c6dc39d979d,1,50000,50000,4.095,11481,5.0,5.0,0,0.0,7088,,,5.0
27,27,544867549719cd33de1048d5,1,50000,50000,4.096,96276,5.7,58.0,91,91.0,8164,,,149.0
28,28,54bcaabb39b8c00b482a115f,1,50000,50000,4.105,59198,9.0,81.0,89,89.0,5359,,,170.0
29,29,58c0fff96ecaa3523d59a24d,1,50000,50000,4.165,229199,2.0,2.0,0,0.0,7575,,,2.0
30,30,572d45c708fad86678ca1938,1,50000,50000,4.216,203805,4.66,11.0,58,58.0,10122,,,69.0
31,31,570b67d4a9dc12590be93b79,1,50000,50000,4.228,38264,6.0,6.0,0,0.0,12880,,,6.0
32,32,57e5db02e7f40f131adeeaf8,1,50000,50000,4.302,37076,9.0,8.0,-12,-12.0,13198,,,-4.0
33,33,5639cd9bddb94f103070ef9f,6,46000,7667,3.968,36361,8.5,41.83,67,67.17,1526,1.0,17.0,109.0
34,34,5533c83986ff95173dc017d0,8,43100,5388,4.081,88193,8.25,7.63,-8,-7.62,654,2.0,25.0,0.009999999999999787
35,35,58fdedf645f9b210f58c00cc,4,41100,10275,4.08,18877,7.47,20.25,17,16.75,2210,1.0,25.0,37.0
36,36,578866243a698c1713f2d19c,3,41000,13667,4.284,43676,5.33,5.0,-5,-4.67,5013,,,0.33000000000000007
37,37,55c8029641d799421d41fe3a,4,41000,10250,3.802,54504,7.0,8.75,17,17.25,1351,,,26.0
38,38,5c51b9b468178729c4213657,4,40000,10000,4.109,16013,6.68,6.25,-3,-3.5,1177,,,2.75
39,39,576bbb443a698c085103c010,2,40000,20000,4.105,73701,9.5,34.0,73,73.0,7364,,,107.0
